Point Number,Latitude (deg),Longitude (deg),Revisit Time (sec)
254,40.859653708389004,68.51851851851852,3716.49266628302
20,41.40964980516677,55.925925925925924,3715.742324106994
255,41.40964980516677,67.03703703703702,3715.8850645931407
201,41.40964980516677,67.77777777777777,3692.065000682223
256,41.40964980516677,68.51851851851852,3692.0498671479304
21,41.95964590194455,55.185185185185176,3668.2479004212487
22,41.95964590194455,55.925925925925924,3668.3835828566384
257,41.95964590194455,67.03703703703702,3691.2727664225454
258,41.95964590194455,67.77777777777777,3691.1526282272607
259,41.95964590194455,68.51851851851852,3668.2158282693244
260,41.95964590194455,69.25925925925925,3668.4182742756143
261,41.95964590194455,70.0,3668.4185116717294
23,42.50964199872232,52.962962962962955,3622.1494902691834
24,42.50964199872232,53.7037037037037,3644.783196307102
25,42.50964199872232,54.444444444444436,3690.6952572790087
26,42.50964199872232,55.185185185185176,3621.8964164897543
27,42.50964199872232,55.925925925925924,3599.7158087510993
262,42.50964199872232,66.29629629629629,3621.9108803578843
263,42.50964199872232,67.03703703703702,3713.7893923562724
264,42.50964199872232,67.77777777777777,3667.19265648423
265,42.50964199872232,68.51851851851852,3577.551714482402
266,42.50964199872232,69.25925925925925,3667.2948363577243
267,42.50964199872232,70.0,3690.487724490189
268,42.50964199872232,70.74074074074075,3577.7134556623364
269,42.50964199872232,79.62962962962963,3690.4859846482955
2,43.0596380955001,52.222222222222214,3643.621010199508
28,43.0596380955001,52.962962962962955,3598.8070578053735
29,43.0596380955001,53.7037037037037,3576.7955241521713
3,43.0596380955001,54.444444444444436,3621.2479266180776
30,43.0596380955001,55.185185185185176,3621.0121521725296
31,43.0596380955001,55.925925925925924,3576.6612089750643
270,43.0596380955001,66.29629629629629,3576.518442981951
271,43.0596380955001,67.03703703703702,3643.445395945375
202,43.0596380955001,67.77777777777777,3643.5170304914113
272,43.0596380955001,68.51851851851852,3598.6430967113065
273,43.0596380955001,69.25925925925925,3620.9477582047175
193,43.0596380955001,70.0,3620.9697839129303
274,43.0596380955001,70.74074074074075,3576.625870073589
