Point Number,Latitude (deg),Longitude (deg),Revisit Time (sec)
254,40.859653708389004,68.51851851851852,3891.3797799635304
20,41.40964980516677,55.925925925925924,3839.170887465123
255,41.40964980516677,67.03703703703702,3839.420648577866
201,41.40964980516677,67.77777777777777,3839.4125840696634
256,41.40964980516677,68.51851851851852,3839.4349946465263
21,41.95964590194455,55.185185185185176,3788.262827993622
22,41.95964590194455,55.925925925925924,3788.5262708248174
257,41.95964590194455,67.03703703703702,3788.8210694901463
258,41.95964590194455,67.77777777777777,3788.81836227091
259,41.95964590194455,68.51851851851852,3813.4850014344365
260,41.95964590194455,69.25925925925925,3788.8868876396177
261,41.95964590194455,70.0,3788.8735262220694
23,42.50964199872232,52.962962962962955,3762.475959230398
24,42.50964199872232,53.7037037037037,3762.8644982118703
25,42.50964199872232,54.444444444444436,3787.221173174758
26,42.50964199872232,55.185185185185176,3762.9188123226477
27,42.50964199872232,55.925925925925924,3739.0908147472705
262,42.50964199872232,66.29629629629629,3763.5553086799346
263,42.50964199872232,67.03703703703702,3787.868460463109
264,42.50964199872232,67.77777777777777,3787.8659190200156
265,42.50964199872232,68.51851851851852,3763.51326543609
266,42.50964199872232,69.25925925925925,3763.5301445543637
267,42.50964199872232,70.0,3763.5834884659735
268,42.50964199872232,70.74074074074075,3787.855094007704
269,42.50964199872232,79.62962962962963,3787.859274803114
2,43.0596380955001,52.222222222222214,3713.558117915656
28,43.0596380955001,52.962962962962955,3713.792066064155
29,43.0596380955001,53.7037037037037,3737.909490978412
3,43.0596380955001,54.444444444444436,3761.9281479212186
30,43.0596380955001,55.185185185185176,3714.256892528998
31,43.0596380955001,55.925925925925924,3690.962964166479
270,43.0596380955001,66.29629629629629,3738.5248008498165
271,43.0596380955001,67.03703703703702,3738.491161738957
202,43.0596380955001,67.77777777777777,3738.4909212502907
272,43.0596380955001,68.51851851851852,3738.428116593894
273,43.0596380955001,69.25925925925925,3738.490703957241
193,43.0596380955001,70.0,3714.81427244625
274,43.0596380955001,70.74074074074075,3738.5755348867456
275,43.0596380955001,71.48148148148147,3786.931659888143
203,43.0596380955001,72.22222222222221,3738.5268851820992
276,43.0596380955001,72.96296296296296,3714.787654131583
277,43.0596380955001,75.18518518518519,3738.492216413487
278,43.0596380955001,75.92592592592592,3738.487436403264
194,43.0596380955001,76.66666666666666,3738.47294803295
279,43.0596380955001,77.4074074074074,3738.4361057778306
280,43.0596380955001,78.14814814814814,3714.799911785115
204,43.0596380955001,78.88888888888889,3714.819463887297
281,43.0596380955001,79.62962962962963,3762.619692334202
749,43.0596380955001,80.37037037037037,3762.574697911985
32,43.609634192277866,51.481481481481474,3665.9175536264074
33,43.609634192277866,52.222222222222214,3666.0830337705856
34,43.609634192277866,52.962962962962955,3666.3266771896497
35,43.609634192277866,53.7037037037037,3689.7964471310925
36,43.609634192277866,54.444444444444436,3713.248561427288
37,43.609634192277866,55.185185185185176,3713.2855593926542
38,43.609634192277866,55.925925925925924,3689.994495169959
282,43.609634192277866,61.85185185185185,3713.765997848699
283,43.609634192277866,62.59259259259258,3713.7946631754667
284,43.609634192277866,64.07407407407408,3690.3753934544234
285,43.609634192277866,65.55555555555556,3713.7658590606325
286,43.609634192277866,66.29629629629629,3690.3469881005417
287,43.609634192277866,67.03703703703702,3690.349148196468
288,43.609634192277866,67.77777777777777,3690.3264140349243
289,43.609634192277866,68.51851851851852,3690.27762881184
290,43.609634192277866,69.25925925925925,3690.349952967236
291,43.609634192277866,70.0,3713.777726482788
292,43.609634192277866,70.74074074074075,3713.8356794452034
293,43.609634192277866,71.48148148148147,3690.4485813189317
